Year,Species,SSB,Source
2012,yellowfin sole,986459,"NPFMC assessment of the yellowfin sole stock in the bering sea and aleutian islands, December 2020"
2013,yellowfin sole,973272,"NPFMC assessment of the yellowfin sole stock in the bering sea and aleutian islands, December 2020"
2014,yellowfin sole,927967,"NPFMC assessment of the yellowfin sole stock in the bering sea and aleutian islands, December 2020"
2015,yellowfin sole,916683,"NPFMC assessment of the yellowfin sole stock in the bering sea and aleutian islands, December 2020"
2016,yellowfin sole,913577,"NPFMC assessment of the yellowfin sole stock in the bering sea and aleutian islands, December 2020"
2017,yellowfin sole,888630,"NPFMC assessment of the yellowfin sole stock in the bering sea and aleutian islands, December 2020"
2018,yellowfin sole,886212,"NPFMC assessment of the yellowfin sole stock in the bering sea and aleutian islands, December 2020"
2019,yellowfin sole,897576,"NPFMC assessment of the yellowfin sole stock in the bering sea and aleutian islands, December 2020"
2020,yellowfin sole,885645,"NPFMC assessment of the yellowfin sole stock in the bering sea and aleutian islands, December 2020"
1976,rex sole,,
1977,,,
1978,,,
1979,,,
1980,,,
1981,,,
1982,,,
1983,,,
1984,,,
1985,,,
1986,,,
1987,,,
1988,,,
1989,,,
1990,,,
1991,,,
1992,,,
1993,,,
1994,,,
1995,,,
1996,,,
1997,,,
1998,,,
1999,,,
2000,,,
2001,,,
2002,,,
2003,,,
2004,,,
2005,,,
2006,,,
2007,,,
2008,,,
2009,,,
2010,,,
2011,,,
2012,,,
2013,,,
2014,,,
2015,,,
2016,,,
2017,,,
2018,,,
2019,,,
2020,,,
1976,,,
1977,,,
1978,,,
1979,,,
1980,,,
1981,,,
1982,,,
1983,,,
1984,,,
1985,,,
1986,,,
1987,,,
1988,,,
1989,,,
1990,,,
1991,,,
1992,,,
1993,,,
1994,,,
1995,,,
1996,,,
1997,,,
1998,,,
1999,,,
2000,,,
2001,,,
2002,,,
2003,,,
2004,,,
2005,,,
2006,,,
2007,,,
2008,,,
2009,,,
2010,,,
2011,,,
2012,,,
2013,,,
2014,,,
2015,,,
2016,,,
2017,,,
2018,,,
2019,,,
2020,,,
1976,alaska plaice,136623,"NPFMC assessment of the alaska plaice stock in the bering sea and aleutian islands, December 2019"
1977,alaska plaice,162595,"NPFMC assessment of the alaska plaice stock in the bering sea and aleutian islands, December 2019"
1978,alaska plaice,196546,"NPFMC assessment of the alaska plaice stock in the bering sea and aleutian islands, December 2019"
1979,alaska plaice,227682,"NPFMC assessment of the alaska plaice stock in the bering sea and aleutian islands, December 2019"
1980,alaska plaice,253099,"NPFMC assessment of the alaska plaice stock in the bering sea and aleutian islands, December 2019"
1981,alaska plaice,274910,"NPFMC assessment of the alaska plaice stock in the bering sea and aleutian islands, December 2019"
